x y
0.05948905 -0.00084009
0.05850531 -0.00204623
0.05683215 -0.00373509
0.05455788 -0.00600533
0.05171093 -0.00883961
0.04980736 -0.01066951
0.04823374 -0.01190735
0.04694098 -0.01321203
0.04542450 -0.01476984
0.04372312 -0.01660968
0.04325462 -0.01780900
0.04289039 -0.01881105
0.04254580 -0.02001153
0.04238236 -0.02132291
0.04236726 -0.02275259
0.04250344 -0.02364098
0.04205227 -0.02461152
0.04106762 -0.02569208
0.03959016 -0.02685320
0.03762780 -0.02809194
0.03745996 -0.02913314
0.03797428 -0.03016974
0.03980757 -0.03136175
0.04235407 -0.03264321
0.04563531 -0.03389176
0.04454229 -0.03515410
0.04436832 -0.03634822
0.04602871 -0.03742197
0.04848010 -0.03841003
0.05179852 -0.03927988
0.05362281 -0.04090419
0.05561503 -0.04196800
0.05763737 -0.04322055
0.05971455 -0.04474715
0.06190130 -0.04653883
0.06369269 -0.04754899
0.06553405 -0.04869806
0.06836254 -0.04962586
0.07215322 -0.05035235
0.07683157 -0.05093031
0.07886729 -0.05205166
0.08133785 -0.05288405
0.08526593 -0.05356153
0.09063119 -0.05403828
0.09743108 -0.05430962
0.09950476 -0.05487658
0.10151301 -0.05509930
0.10419195 -0.05545662
0.10754262 -0.05590276
0.11152896 -0.05640816
