x y theta(rad)
-1.839900040067732334e-03 1.499989777803421021e-01 1.664078712463378906e+00
-3.830470144748687744e-03 1.499110460281372070e-01 1.762190580368041992e+00
-5.875050090253353119e-03 1.497330367565155029e-01 1.861690163612365723e+00
-7.936393842101097107e-03 1.494637429714202881e-01 1.961558938026428223e+00
-1.000117138028144836e-02 1.491024643182754517e-01 2.061525344848632812e+00
-1.206446066498756409e-02 1.486507356166839600e-01 2.161515474319458008e+00
-1.412424072623252869e-02 1.481104344129562378e-01 2.261514902114868164e+00
-1.617946289479732513e-02 1.474837660789489746e-01 2.361514329910278320e+00
-1.822942867875099182e-02 1.467732191085815430e-01 2.461518526077270508e+00
-2.027358859777450562e-02 1.459815651178359985e-01 2.561517715454101562e+00
-2.231149002909660339e-02 1.451117843389511108e-01 2.661515951156616211e+00
-2.432955987751483917e-02 1.442259997129440308e-01 2.761347770690917969e+00
-2.635146491229534149e-02 1.431398391723632812e-01 2.861332416534423828e+00
-2.836814895272254944e-02 1.418752223253250122e-01 2.961327075958251953e+00
-3.037781268358230591e-02 1.404569596052169800e-01 3.061328411102294922e+00
-3.238006681203842163e-02 1.389094889163970947e-01 -3.121862173080444336e+00
-3.437484055757522583e-02 1.372555941343307495e-01 -3.021858930587768555e+00
-3.636217862367630005e-02 1.355154663324356079e-01 -2.921854734420776367e+00
-3.834220021963119507e-02 1.337065696716308594e-01 -2.821857452392578125e+00
-4.031511023640632629e-02 1.318435966968536377e-01 -2.721859455108642578e+00
-4.228117316961288452e-02 1.299387961626052856e-01 -2.621852636337280273e+00
-4.424073547124862671e-02 1.280022561550140381e-01 -2.521859645843505859e+00
-4.622995480895042419e-02 1.259881258010864258e-01 -2.497593879699707031e+00
-4.821500182151794434e-02 1.239688843488693237e-01 -2.465086936950683594e+00
-5.019561201333999634e-02 1.219457089900970459e-01 -2.424791336059570312e+00
-5.217155441641807556e-02 1.199193969368934631e-01 -2.377246618270874023e+00
-5.414264276623725891e-02 1.178908273577690125e-01 -2.323048591613769531e+00
-5.610874667763710022e-02 1.158609688282012939e-01 -2.262810707092285156e+00
-5.806982517242431641e-02 1.138308122754096985e-01 -2.197149276733398438e+00
-6.002594530582427979e-02 1.118013635277748108e-01 -2.126670837402343750e+00
-6.197728216648101807e-02 1.097735986113548279e-01 -2.051951169967651367e+00
-6.392411887645721436e-02 1.077484413981437683e-01 -1.973514914512634277e+00
-6.586686521768569946e-02 1.057267636060714722e-01 -1.891860485076904297e+00
-6.785289198160171509e-02 1.037227660417556763e-01 -1.872423052787780762e+00
-6.983439624309539795e-02 1.017172932624816895e-01 -1.846701860427856445e+00
-7.181127369403839111e-02 9.971114248037338257e-02 -1.814793109893798828e+00
-7.378359884023666382e-02 9.770480543375015259e-02 -1.776940464973449707e+00
-7.575154304504394531e-02 9.569882601499557495e-02 -1.733458518981933594e+00
-7.771529257297515869e-02 9.369378536939620972e-02 -1.684653639793395996e+00
-7.967510819435119629e-02 9.169027954339981079e-02 -1.630864024162292480e+00
-8.163132518529891968e-02 8.968892693519592285e-02 -1.572450280189514160e+00
-8.358433097600936890e-02 8.769032359123229980e-02 -1.509758114814758301e+00
-8.553459495306015015e-02 8.569502830505371094e-02 -1.443134784698486328e+00
-8.748263865709304810e-02 8.370356261730194092e-02 -1.372916698455810547e+00
-8.937396109104156494e-02 8.171953260898590088e-02 -1.379411101341247559e+00
-9.135117381811141968e-02 7.972034066915512085e-02 -1.388207912445068359e+00
-9.335192292928695679e-02 7.771912962198257446e-02 -1.399238228797912598e+00
-9.535986930131912231e-02 7.571752369403839111e-02 -1.412491440773010254e+00
-9.737087041139602661e-02 7.371578365564346313e-02 -1.427955865859985352e+00
-9.938387572765350342e-02 7.171402126550674438e-02 -1.445607781410217285e+00
-1.013986170291900635e-01 6.971231102943420410e-02 -1.465433955192565918e+00
-1.034150198101997375e-01 6.771075725555419922e-02 -1.487412095069885254e+00
-1.054330542683601379e-01 6.570946425199508667e-02 -1.511524558067321777e+00
-1.074527055025100708e-01 6.370855867862701416e-02 -1.537754535675048828e+00
-1.094739288091659546e-01 6.170815601944923401e-02 -1.566057801246643066e+00
-1.095675900578498840e-01 5.973593890666961670e-02 -1.550842404365539551e+00
-1.096869632601737976e-01 5.774059146642684937e-02 -1.531009554862976074e+00
-1.098325252532958984e-01 5.574216321110725403e-02 -1.506557822227478027e+00
-1.100044995546340942e-01 5.374396219849586487e-02 -1.477578520774841309e+00
-1.102029308676719666e-01 5.174671858549118042e-02 -1.444191098213195801e+00
-1.104278936982154846e-01 4.975081235170364380e-02 -1.406538486480712891e+00
-1.106794774532318115e-01 4.775657877326011658e-02 -1.364779233932495117e+00
-1.109578087925910950e-01 4.576435685157775879e-02 -1.319073200225830078e+00
-1.112630367279052734e-01 4.377448186278343201e-02 -1.269595384597778320e+00
-1.115953326225280762e-01 4.178729653358459473e-02 -1.216517448425292969e+00
-1.119549125432968140e-01 3.980310633778572083e-02 -1.160031080245971680e+00
-1.120116710662841797e-01 3.782750293612480164e-02 -1.143488883972167969e+00
-1.120863333344459534e-01 3.583727031946182251e-02 -1.121095776557922363e+00
-1.121792271733283997e-01 3.384706377983093262e-02 -1.092947244644165039e+00
-1.122906208038330078e-01 3.185911849141120911e-02 -1.059225082397460938e+00
-1.124208569526672363e-01 2.987395972013473511e-02 -1.020166039466857910e+00
-1.125703305006027222e-01 2.789190225303173065e-02 -9.760151505470275879e-01
-1.127394959330558777e-01 2.591321803629398346e-02 -9.270513653755187988e-01
-1.129288375377655029e-01 2.393815107643604279e-02 -8.735411763191223145e-01
-1.131388992071151733e-01 2.196690998971462250e-02 -8.157818913459777832e-01
-1.133702471852302551e-01 1.999964937567710876e-02 -7.540683150291442871e-01
-1.136234700679779053e-01 1.803646422922611237e-02 -6.886879205703735352e-01
-1.133804246783256531e-01 1.605089195072650909e-02 -6.804435253143310547e-01
