x y theta(rad)
7.940061623230576515e-04 2.200909405946731567e-01 1.501329779624938965e+00
1.784220454283058643e-03 2.201051563024520874e-01 1.423968791961669922e+00
3.274885937571525574e-03 2.197719216346740723e-01 1.332051515579223633e+00
5.119531415402889252e-03 2.190658003091812134e-01 1.223350763320922852e+00
7.136082276701927185e-03 2.180247753858566284e-01 1.096432685852050781e+00
9.228664450347423553e-03 2.166961282491683960e-01 9.504157304763793945e-01
1.134963333606719971e-02 2.151359021663665771e-01 7.850332856178283691e-01
1.347201410681009293e-02 2.133859395980834961e-01 6.005956530570983887e-01
1.557609718292951584e-02 2.114824354648590088e-01 3.971814811229705811e-01
1.764383539557456970e-02 2.094576060771942139e-01 1.749226450920104980e-01
1.965777948498725891e-02 2.073424160480499268e-01 -6.611451506614685059e-02
2.148924767971038818e-02 2.058217525482177734e-01 -7.268008589744567871e-02
2.339052036404609680e-02 2.041613906621932983e-01 -8.729612827301025391e-02
2.534097433090209961e-02 2.023642957210540771e-01 -1.138468086719512939e-01
2.731393836438655853e-02 2.004685401916503906e-01 -1.528161764144897461e-01
2.929428033530712128e-02 1.985029131174087524e-01 -2.048092782497406006e-01
3.127322718501091003e-02 1.964886337518692017e-01 -2.700412869453430176e-01
3.324513137340545654e-02 1.944402605295181274e-01 -3.484842479228973389e-01
3.520575165748596191e-02 1.923679113388061523e-01 -4.398389756679534912e-01
3.715156763792037964e-02 1.902795433998107910e-01 -5.435581803321838379e-01
3.907921165227890015e-02 1.881816089153289795e-01 -6.596106290817260742e-01
4.098571836948394775e-02 1.860802173614501953e-01 -7.879521250724792480e-01
4.103549569845199585e-02 1.860803514719009399e-01 -7.954488992691040039e-01
4.108516499400138855e-02 1.860809475183486938e-01 -8.031713962554931641e-01
4.113692417740821838e-02 1.860821843147277832e-01 -8.111752271652221680e-01
4.119161888957023621e-02 1.860838085412979126e-01 -8.196240663528442383e-01
4.124925658106803894e-02 1.860862076282501221e-01 -8.285498619079589844e-01
4.130987077951431274e-02 1.860895603895187378e-01 -8.379008769989013672e-01
4.137345775961875916e-02 1.860935539007186890e-01 -8.477571606636047363e-01
4.144000262022018433e-02 1.860980689525604248e-01 -8.581622242927551270e-01
4.150972887873649597e-02 1.861031651496887207e-01 -8.690976500511169434e-01
4.158274829387664795e-02 1.861087977886199951e-01 -8.804761767387390137e-01
4.165904968976974487e-02 1.861149668693542480e-01 -8.923028111457824707e-01
4.171688109636306763e-02 1.861108690500259399e-01 -8.977703452110290527e-01
4.177845641970634460e-02 1.861089468002319336e-01 -9.036706089973449707e-01
4.184624925255775452e-02 1.861081421375274658e-01 -9.103057980537414551e-01
4.192069917917251587e-02 1.861072480678558350e-01 -9.177664518356323242e-01
4.200152307748794556e-02 1.861060261726379395e-01 -9.255775213241577148e-01
4.208891466259956360e-02 1.861043423414230347e-01 -9.336702227592468262e-01
4.218308255076408386e-02 1.861026585102081299e-01 -9.419029355049133301e-01
4.228439554572105408e-02 1.861012130975723267e-01 -9.502084255218505859e-01
4.239299148321151733e-02 1.861000657081604004e-01 -9.585751891136169434e-01
4.250882938504219055e-02 1.860991865396499634e-01 -9.670187234878540039e-01
4.263188317418098450e-02 1.860985755920410156e-01 -9.755395650863647461e-01
4.454615339636802673e-02 1.849859356880187988e-01 -9.435570836067199707e-01
4.651863127946853638e-02 1.836700886487960815e-01 -9.190602302551269531e-01
4.851172864437103271e-02 1.821581125259399414e-01 -9.068290591239929199e-01
5.050446838140487671e-02 1.804950684309005737e-01 -9.081609249114990234e-01
5.248891562223434448e-02 1.787196695804595947e-01 -9.235699176788330078e-01
5.446199327707290649e-02 1.768624037504196167e-01 -9.530892372131347656e-01
5.642202869057655334e-02 1.749464273452758789e-01 -9.967156648635864258e-01
5.836929380893707275e-02 1.729890555143356323e-01 -1.052731394767761230e+00
6.030552089214324951e-02 1.710043251514434814e-01 -1.118258118629455566e+00
6.223001331090927124e-02 1.690030097961425781e-01 -1.193279981613159180e+00
6.414227932691574097e-02 1.669932901859283447e-01 -1.277765035629272461e+00
6.609209626913070679e-02 1.653945595026016235e-01 -1.282869458198547363e+00
6.806730479001998901e-02 1.636173576116561890e-01 -1.293944358825683594e+00
7.004480063915252686e-02 1.617311388254165649e-01 -1.311873435974121094e+00
7.201738655567169189e-02 1.597861796617507935e-01 -1.336710929870605469e+00
7.398305088281631470e-02 1.578103899955749512e-01 -1.368458628654479980e+00
7.594118267297744751e-02 1.558189541101455688e-01 -1.407107472419738770e+00
7.789156585931777954e-02 1.538202464580535889e-01 -1.452654004096984863e+00
7.983426749706268311e-02 1.518191993236541748e-01 -1.504963636398315430e+00
8.177035301923751831e-02 1.498189717531204224e-01 -1.563118815422058105e+00
8.369999378919601440e-02 1.478217244148254395e-01 -1.627112030982971191e+00
8.562351018190383911e-02 1.458292454481124878e-01 -1.696944117546081543e+00
8.756064623594284058e-02 1.439888626337051392e-01 -1.692138552665710449e+00
8.953478187322616577e-02 1.420591920614242554e-01 -1.694424629211425781e+00
9.151664376258850098e-02 1.400897949934005737e-01 -1.704058408737182617e+00
9.349557757377624512e-02 1.381043940782546997e-01 -1.721163511276245117e+00
9.546829015016555786e-02 1.361135840415954590e-01 -1.745588183403015137e+00
9.743438661098480225e-02 1.341219991445541382e-01 -1.776753067970275879e+00
9.939367324113845825e-02 1.321320682764053345e-01 -1.814656257629394531e+00
1.013462841510772705e-01 1.301452964544296265e-01 -1.859292149543762207e+00
1.032926291227340698e-01 1.281628459692001343e-01 -1.910579442977905273e+00
1.052332594990730286e-01 1.261858195066452026e-01 -1.968443632125854492e+00
1.071688234806060791e-01 1.242153868079185486e-01 -2.032894611358642578e+00
1.090984866023063660e-01 1.222765445709228516e-01 -2.035882711410522461e+00
1.110743358731269836e-01 1.202950924634933472e-01 -2.040491580963134766e+00
1.130630373954772949e-01 1.183021962642669678e-01 -2.046849727630615234e+00
1.150538176298141479e-01 1.163072511553764343e-01 -2.054955244064331055e+00
1.170439124107360840e-01 1.143125742673873901e-01 -2.064812183380126953e+00
1.190326064825057983e-01 1.123187541961669922e-01 -2.076435089111328125e+00
1.210197508335113525e-01 1.103259846568107605e-01 -2.089819908142089844e+00
1.230053454637527466e-01 1.083343550562858582e-01 -2.104963302612304688e+00
1.249894127249717712e-01 1.063439622521400452e-01 -2.121870279312133789e+00
1.269720196723937988e-01 1.043548807501792908e-01 -2.140545845031738281e+00
1.289532035589218140e-01 1.023671999573707581e-01 -2.160983800888061523e+00
1.308514028787612915e-01 1.004251986742019653e-01 -2.158998012542724609e+00
1.328160166740417480e-01 9.844201058149337769e-02 -2.155751943588256836e+00
1.348074823617935181e-01 9.644452482461929321e-02 -2.151136159896850586e+00
1.368090361356735229e-01 9.444228559732437134e-02 -2.145032405853271484e+00
1.388148069381713867e-01 9.243813902139663696e-02 -2.137419223785400391e+00
1.408228874206542969e-01 9.043288975954055786e-02 -2.128293991088867188e+00
1.428327411413192749e-01 8.842676877975463867e-02 -2.117641210556030273e+00
1.448441892862319946e-01 8.641988039016723633e-02 -2.105460166931152344e+00
1.468572020530700684e-01 8.441229164600372314e-02 -2.091757059097290039e+00
1.488717794418334961e-01 8.240406960248947144e-02 -2.076538085937500000e+00
1.508879810571670532e-01 8.039527386426925659e-02 -2.059775829315185547e+00
1.509114205837249756e-01 8.037687838077545166e-02 -2.068041324615478516e+00
1.509346961975097656e-01 8.035833388566970825e-02 -2.077282428741455078e+00
1.509571820497512817e-01 8.033856749534606934e-02 -2.086936473846435547e+00
1.509788185358047485e-01 8.031776547431945801e-02 -2.097111225128173828e+00
1.510004103183746338e-01 8.029586076736450195e-02 -2.107698440551757812e+00
1.510226875543594360e-01 8.027251064777374268e-02 -2.118545532226562500e+00
1.510454863309860229e-01 8.024723082780838013e-02 -2.129739284515380859e+00
1.510687917470932007e-01 8.022008091211318970e-02 -2.141335010528564453e+00
1.510926336050033569e-01 8.019105345010757446e-02 -2.153322935104370117e+00
1.511170119047164917e-01 8.016017824411392212e-02 -2.165704727172851562e+00
1.511419415473937988e-01 8.012745529413223267e-02 -2.178485631942749023e+00
1.511458456516265869e-01 8.011090010404586792e-02 -2.182163000106811523e+00
1.511481106281280518e-01 8.009424060583114624e-02 -2.186387300491333008e+00
1.511521339416503906e-01 8.007621020078659058e-02 -2.190225124359130859e+00
1.511589586734771729e-01 8.005757629871368408e-02 -2.193313121795654297e+00
1.511687487363815308e-01 8.003838360309600830e-02 -2.195649623870849609e+00
1.511814743280410767e-01 8.001837134361267090e-02 -2.197313308715820312e+00
1.511970013380050659e-01 7.999739795923233032e-02 -2.198418855667114258e+00
1.512151211500167847e-01 7.997536659240722656e-02 -2.199076652526855469e+00
