x y
-0.00098903 0.22014035
-0.00214065 0.22019880
-0.00364058 0.21995890
-0.00541093 0.21938795
-0.00735625 0.21849614
-0.00940148 0.21731517
-0.01149605 0.21588381
-0.01360567 0.21424285
-0.01570544 0.21243140
-0.01777585 0.21048449
-0.01980027 0.20843473
-0.01986593 0.20839776
-0.01993362 0.20835721
-0.02000362 0.20831002
-0.02007566 0.20825651
-0.02014958 0.20819664
-0.02022539 0.20813000
-0.02030307 0.20805660
-0.02038261 0.20797643
-0.02046398 0.20788951
-0.02054715 0.20779583
-0.02063208 0.20769544
-0.02068811 0.20768212
-0.02074635 0.20766717
-0.02080657 0.20764962
-0.02087025 0.20762818
-0.02093862 0.20760266
-0.02101181 0.20757274
-0.02108993 0.20753844
-0.02117294 0.20749973
-0.02126079 0.20745657
-0.02135347 0.20740892
-0.02145098 0.20735681
-0.02333245 0.20590076
-0.02527780 0.20425776
-0.02725497 0.20245945
-0.02924303 0.20055692
-0.03123296 0.19858423
-0.03321932 0.19656444
-0.03519839 0.19451238
-0.03716662 0.19243719
-0.03912032 0.19034538
-0.04105574 0.18824247
-0.04296919 0.18613409
-0.04488034 0.18532969
-0.04683683 0.18435436
-0.04881349 0.18316971
-0.05079212 0.18179758
-0.05276605 0.18026897
-0.05473289 0.17861448
-0.05669304 0.17685874
-0.05864578 0.17502676
-0.06059050 0.17313845
-0.06252664 0.17120945
-0.06445377 0.16925202
-0.06638107 0.16784826
-0.06834524 0.16622671
-0.07031795 0.16443513
-0.07228848 0.16254430
-0.07425422 0.16059770
-0.07621448 0.15862085
-0.07816899 0.15662803
-0.08011761 0.15462747
-0.08206030 0.15262404
-0.08399709 0.15062080
-0.08592812 0.14861989
-0.08789134 0.14678988
-0.08987361 0.14486413
-0.09185752 0.14289422
-0.09383821 0.14090653
-0.09581485 0.13891214
-0.09778711 0.13691583
-0.09975499 0.13491967
-0.10171852 0.13292471
-0.10367781 0.13093162
-0.10563300 0.12894098
-0.10758428 0.12695339
-0.10948762 0.12505938
-0.11145028 0.12309533
-0.11343236 0.12110780
-0.11541998 0.11911363
-0.11740928 0.11711767
-0.11939924 0.11512123
-0.12138961 0.11312465
-0.12338030 0.11112802
-0.12537129 0.10913137
-0.12736256 0.10713470
-0.12935410 0.10513800
-0.13107158 0.10335895
-0.13289438 0.10148757
-0.13479136 0.09955566
-0.13673192 0.09759144
-0.13869703 0.09561066
-0.14067574 0.09362146
-0.14266106 0.09162855
-0.14464958 0.08963407
-0.14663966 0.08763892
-0.14863056 0.08564350
-0.15062192 0.08364797
-0.15065064 0.08363066
-0.15068053 0.08361140
-0.15071544 0.08358900
-0.15075696 0.08356287
-0.15080455 0.08353266
-0.15085840 0.08349836
-0.15091850 0.08345994
-0.15098487 0.08341739
-0.15105748 0.08337072
-0.15113634 0.08331991
-0.15122144 0.08326496
-0.15181455 0.08154257
-0.15254205 0.07968091
-0.15342464 0.07773618
-0.15445979 0.07575409
-0.15563469 0.07375690
-0.15693429 0.07175368
-0.15834382 0.06974801
-0.15984929 0.06774129
-0.16143766 0.06573410
-0.16309717 0.06372668
-0.16481732 0.06171918
-0.16479087 0.05994226
-0.16475716 0.05806076
-0.16471237 0.05610559
-0.16465642 0.05412465
-0.16458945 0.05213612
-0.16451146 0.05014658
-0.16442202 0.04815848
-0.16432132 0.04617293
-0.16420957 0.04419061
-0.16408707 0.04221204
-0.16395420 0.04023774
-0.16369651 0.03848222
-0.16337560 0.03662463
-0.16298021 0.03470286
-0.16250584 0.03274750
-0.16195266 0.03077835
-0.16132012 0.02880469
-0.16060872 0.02683112
-0.15982081 0.02486013
-0.15895911 0.02289302
-0.15802656 0.02093058
-0.15702635 0.01897335
-0.15659808 0.01729493
-0.15604098 0.01547155
-0.15533021 0.01356540
-0.15446360 0.01162686
-0.15345116 0.00968079
-0.15230584 0.00773730
-0.15104160 0.00580049
-0.14967252 0.00387205
-0.14821245 0.00195273
-0.14667478 0.00004275
-0.14507225 -0.00185807
-0.14506614 -0.00192342
-0.14506383 -0.00199587
-0.14506511 -0.00207860
-0.14507031 -0.00217168
-0.14507934 -0.00227520
-0.14509232 -0.00238904
-0.14510959 -0.00251319
-0.14513160 -0.00264787
-0.14515874 -0.00279298
-0.14519148 -0.00294831
-0.14523028 -0.00311364
-0.14522330 -0.00317527
-0.14521505 -0.00324348
-0.14520177 -0.00332113
-0.14518268 -0.00340960
-0.14515758 -0.00350897
-0.14512639 -0.00361924
-0.14508913 -0.00374038
-0.14504591 -0.00387231
-0.14499684 -0.00401498
-0.14494197 -0.00416835
-0.14488132 -0.00433242
-0.14430016 -0.00620855
-0.14354810 -0.00814562
-0.14263071 -0.01009867
-0.14156148 -0.01205226
-0.14035550 -0.01400158
-0.13902852 -0.01594503
-0.13759653 -0.01788213
-0.13607472 -0.01981273
-0.13447732 -0.02173695
-0.13281728 -0.02365502
-0.13110636 -0.02556739
-0.12983587 -0.02743991
-0.12832509 -0.02937784
-0.12663469 -0.03133746
-0.12482803 -0.03330091
-0.12294491 -0.03526221
-0.12101834 -0.03721943
-0.11906838 -0.03917220
-0.11710709 -0.04112066
-0.11514177 -0.04306517
-0.11317694 -0.04500623
-0.11121552 -0.04694447
-0.10962133 -0.04884985
-0.10785679 -0.05080929
-0.10599016 -0.05278585
-0.10406779 -0.05476602
-0.10211664 -0.05674533
-0.10015159 -0.05872245
-0.09818066 -0.06069709
-0.09620840 -0.06266934
-0.09423734 -0.06463941
-0.09226896 -0.06660762
-0.09030415 -0.06857435
-0.09030309 -0.06862134
-0.09030161 -0.06866942
-0.09029969 -0.06872166
-0.09029847 -0.06877960
-0.09029809 -0.06884307
-0.09029884 -0.06891216
-0.09030096 -0.06898682
-0.09030437 -0.06906702
-0.09030896 -0.06915270
-0.09031469 -0.06924407
-0.09032156 -0.06934116
-0.09032062 -0.06938119
-0.09031928 -0.06942149
-0.09031690 -0.06946558
-0.09031262 -0.06951528
-0.09030671 -0.06957108
-0.09029940 -0.06963308
-0.09029056 -0.06970129
-0.09028029 -0.06977571
-0.09026860 -0.06985629
-0.09025544 -0.06994314
-0.09024087 -0.07003610
-0.08861441 -0.07169548
-0.08681311 -0.07352149
-0.08490669 -0.07544308
-0.08294468 -0.07741258
-0.08095850 -0.07940201
-0.07896208 -0.08139955
-0.07696154 -0.08340022
-0.07495953 -0.08540194
-0.07295718 -0.08740388
-0.07095498 -0.08940566
-0.06895313 -0.09140716
-0.06894501 -0.09141245
-0.06893584 -0.09141587
-0.06892531 -0.09141722
-0.06891432 -0.09141655
-0.06890286 -0.09141374
-0.06889094 -0.09140912
-0.06887850 -0.09140308
-0.06886554 -0.09139565
-0.06885203 -0.09138685
-0.06883775 -0.09137622
-0.06882271 -0.09136378
-0.06738270 -0.09159900
-0.06579321 -0.09185321
-0.06403910 -0.09212915
-0.06218179 -0.09242669
-0.06026508 -0.09274770
-0.05831445 -0.09309957
-0.05634767 -0.09348229
-0.05437418 -0.09389578
-0.05239892 -0.09433997
-0.05042447 -0.09481479
-0.04845221 -0.09532022
-0.04840572 -0.09532169
-0.04835671 -0.09532087
-0.04830199 -0.09531450
-0.04824150 -0.09530227
-0.04817512 -0.09528390
-0.04810283 -0.09525945
-0.04802446 -0.09522877
-0.04794008 -0.09519187
-0.04784981 -0.09514884
-0.04775372 -0.09509994
-0.04765183 -0.09504521
-0.04759428 -0.09503715
-0.04753269 -0.09503040
-0.04746470 -0.09502505
-0.04738993 -0.09502008
-0.04730832 -0.09501521
-0.04721992 -0.09501060
-0.04712475 -0.09500636
-0.04702280 -0.09500261
-0.04691413 -0.09499945
-0.04679882 -0.09499703
-0.04667697 -0.09499542
-0.04663275 -0.09499346
-0.04658460 -0.09499258
-0.04653136 -0.09499268
-0.04647290 -0.09499399
-0.04640909 -0.09499679
-0.04633971 -0.09500130
-0.04626491 -0.09500756
-0.04618469 -0.09501553
-0.04609907 -0.09502517
-0.04600804 -0.09503650
-0.04591159 -0.09504952
-0.04586853 -0.09504418
-0.04582659 -0.09503837
-0.04578428 -0.09503205
-0.04574233 -0.09502594
-0.04570094 -0.09501998
-0.04566032 -0.09501415
-0.04562015 -0.09500816
-0.04558017 -0.09500170
-0.04554038 -0.09499477
-0.04550067 -0.09498736
-0.04546100 -0.09497952
-0.04411609 -0.09495779
-0.04264343 -0.09492385
-0.04102268 -0.09486768
-0.03928218 -0.09479031
-0.03746106 -0.09469189
-0.03558543 -0.09457232
-0.03367537 -0.09443172
-0.03174437 -0.09427017
-0.02980126 -0.09408792
-0.02785167 -0.09388529
-0.02589921 -0.09366276
-0.02548726 -0.09362914
-0.02503529 -0.09358767
-0.02448730 -0.09352999
-0.02383226 -0.09345362
-0.02307430 -0.09335865
-0.02221784 -0.09324517
-0.02126777 -0.09311326
-0.02022897 -0.09296296
-0.01910724 -0.09279445
-0.01790839 -0.09260793
-0.01663821 -0.09240361
-0.01589288 -0.09223838
-0.01503690 -0.09203705
-0.01395301 -0.09175491
-0.01264054 -0.09137695
-0.01114617 -0.09090416
-0.00951455 -0.09033879
-0.00778109 -0.08968235
-0.00597417 -0.08893698
-0.00411578 -0.08810609
-0.00222184 -0.08719327
-0.00030369 -0.08620237
-0.00029386 -0.08619102
-0.00028505 -0.08618112
-0.00027932 -0.08617333
-0.00027758 -0.08616683
-0.00027866 -0.08616025
-0.00028223 -0.08615356
-0.00028808 -0.08614707
-0.00029622 -0.08614077
-0.00030670 -0.08613461
-0.00031960 -0.08612850
-0.00033492 -0.08612241
-0.00037043 -0.08614128
-0.00040594 -0.08616029
-0.00044108 -0.08617926
-0.00047547 -0.08619825
-0.00050948 -0.08621724
-0.00054309 -0.08623624
-0.00057622 -0.08625520
-0.00060889 -0.08627381
-0.00064106 -0.08629210
-0.00067294 -0.08631037
-0.00070456 -0.08632868
-0.00064963 -0.08631912
-0.00059418 -0.08630847
-0.00053689 -0.08629521
-0.00047705 -0.08627924
-0.00041254 -0.08626116
-0.00034289 -0.08624104
-0.00026808 -0.08621888
-0.00018811 -0.08619465
-0.00010297 -0.08616835
-0.00001266 -0.08613999
0.00008281 -0.08610958
0.00006896 -0.08612205
0.00005881 -0.08613495
0.00005347 -0.08614741
0.00005390 -0.08615979
0.00006060 -0.08617250
0.00007374 -0.08618575
0.00009335 -0.08619970
0.00011942 -0.08621456
0.00015195 -0.08623037
0.00019096 -0.08624715
0.00023644 -0.08626495
0.00025875 -0.08624508
0.00028241 -0.08622343
0.00030832 -0.08619913
0.00033694 -0.08617137
0.00036792 -0.08613996
0.00040119 -0.08610494
0.00043676 -0.08606631
0.00047461 -0.08602415
0.00051479 -0.08597854
0.00055731 -0.08592953
0.00060217 -0.08587720
0.00059785 -0.08587193
0.00059362 -0.08586682
0.00058745 -0.08586328
0.00057799 -0.08586249
0.00056544 -0.08586495
0.00055008 -0.08587056
0.00053206 -0.08587936
0.00051133 -0.08589134
0.00048781 -0.08590648
0.00046146 -0.08592491
0.00043231 -0.08594675
0.00039885 -0.08595959
0.00036592 -0.08597229
0.00033265 -0.08598598
0.00029945 -0.08600120
0.00026694 -0.08601812
0.00023548 -0.08603700
